OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,STDY_TITLE,STDY_LABEL,STDY_YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,SEG_COMPKEY,SHAPE_Length
36,104200130,Y,13507,WESTERN AVE,139,311344,"WESTERN & ELLIOTT AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 11:45",11548,7243,997,1289,"WESTERN & ELLIOTT AVE, NW/O LENORA ST","311344, 2012-03-01, TOTAL",2012,Y,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",11869.4,1.046,12415,12400,13507,4123.16889187981
37,91650050,N,12231,PINEHURST WAY NE,120,310059,"PINEHURST WAY NE, NE/O NE 115TH ST; TOTAL FLOW; CH(AGG); 26Apr2012 10:45",8757,5505,672,901,"PINEHURST WAY NE, NE/O NE 115TH ST","310059, 2012-04-26, TOTAL",2012,Y,"PINEHURST WAY NE, NE/O NE 115TH ST",9442.2,0.984,9291,9300,12231,2635.54925348418
38,71050670,N,10775,GREENWOOD AVE N,221,309967,"GREENWOOD AVE N, N/O N 107TH ST; TOTAL FLOW; CH(AGG); 26Apr2012 13:15",23171,13923,1766,2193,"GREENWOOD AVE N, N/O N 107TH ST","309967, 2012-04-26, TOTAL",2012,Y,"GREENWOOD AVE N, N/O N 107TH ST",24522.6,0.984,24130,24100,10775,5295.66058268564
39,5550680,N,2096,15TH AVE NE,3,309875,"15TH AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 11:00",15167,9551,1182,1605,"15TH AVE NE, S/O NE 145TH ST","309875, 2012-05-15, TOTAL",2012,Y,"15TH AVE NE, S/O NE 145TH ST",16121.4,1.002,16154,16200,2096,7106.19072711216
40,27200240,N,5462,35TH AVE SW,210,309907,"35TH AVE SW, S/O SW MORGAN ST; TOTAL FLOW; CH(AGG); 26Mar2012 14:15",19491,11181,1343,1703,"35TH AVE SW, S/O SW MORGAN ST","309907, 2012-03-26, TOTAL",2012,Y,"35TH AVE SW, S/O SW MORGAN ST",20015.2,1.046,20936,20900,5462,8613.68571913959
41,181450280,N,22771,SW ROXBURY ST,257,310091,"SW ROXBURY ST, E/O 26TH AVE SW; TOTAL FLOW; CH(AGG); 23Oct2012 11:45",0,11421,1320,1705,"SW ROXBURY ST, E/O 26TH AVE SW","310091, 2012-10-23, TOTAL",2012,Y,"SW ROXBURY ST, E/O 26TH AVE SW",20626.2,0.978,20172,20200,22771,9082.82354480222
42,180000070,N,22592,SW MORGAN ST,63,307216,"SW MORGAN ST, W/O 35TH AVE SW; TOTAL FLOW; CHB TUBE; 26Mar2012 13:45",8560,5125,624,864,"SW MORGAN ST, W/O 35TH AVE SW","307216, 2012-03-26, TOTAL",2012,Y,"SW MORGAN ST, W/O 35TH AVE SW",8756,1.046,9159,9200,22592,2660.88142111398
43,173900035,N,21818,SW AVALON WAY,143,311259,"SW AVALON WAY, N/O 30TH AVE SW; TOTAL FLOW; CH(AGG); 05Jun2012 11:30",14353,8518,1095,1217,"SW AVALON WAY, N/O 30TH AVE SW","311259, 2012-06-05, TOTAL",2012,Y,"SW AVALON WAY, N/O 30TH AVE SW",15215.4,0.964,14668,14700,21818,3425.59553577961
44,52540270,N,8919,AURORA BR,280,0, ,56000,0,0,0, ,"WSDOT, ADT",2012,Y, ,0,0,0,56000,8919,10850.570428785
45,108300040,N,13812,E ALOHA ST,73,308906,"E ALOHA ST, E/O 10TH AVE E; TOTAL FLOW; CHB TUBE; 22Aug2012 11:30",7648,4578,524,746,"E ALOHA ST, E/O 10TH AVE E","308906, 2012-08-22, TOTAL",2012,Y,"E ALOHA ST, E/O 10TH AVE E",8137.8,1.008,8203,8200,13812,870.3606592182
46,47050150,Y,8164,7TH AVE,253,311209,"7TH AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 05Mar2012 10:00",4155,2651,440,439,"7TH AVE, NW/O LENORA ST","311209, 2012-03-05, TOTAL",2012,Y,"7TH AVE, NW/O LENORA ST",4425.4,1.046,4629,4600,8164,2713.65448767529
47,61150160,N,9832,CORSON AVE S,100,309927,"CORSON AVE S, N/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:15",23249,13179,1909,1630,"CORSON AVE S, N/O S MICHIGAN ST","309927, 2012-08-21, TOTAL",2012,Y,"CORSON AVE S, N/O S MICHIGAN ST",26590.6,1.008,26803,26800,9832,1873.9878718934
48,23850280,N,5001,32ND AVE NW,154,309487,"32ND AVE NW, S/O NW 80TH ST; TOTAL FLOW; CHB TUBE; 01Nov2012 10:00",4293,2577,316,391,"32ND AVE NW, S/O NW 80TH ST","309487, 2012-11-01, TOTAL",2012,Y,"32ND AVE NW, S/O NW 80TH ST",4405.4,1.04,4582,4600,5001,8343.25711046729
49,57900200,N,9548,CALIFORNIA AVE SW,182,311219,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST; TOTAL FLOW; CH(AGG); 27Nov2012 11:45",27858,16848,2029,2420,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST","311219, 2012-11-27, TOTAL",2012,Y,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",28864,1.04,30019,30000,9548,7978.44448677336
50,93450450,N,12383,RAINIER AVE S,264,311068,"RAINIER AVE S, N/O S ALASKA ST; TOTAL FLOW; CH(AGG); 20Sep2012 11:15",15790,8719,1359,1092,"RAINIER AVE S, N/O S ALASKA ST","311068, 2012-09-20, TOTAL",2012,Y,"RAINIER AVE S, N/O S ALASKA ST",16307.2,0.974,15883,15900,12383,787.054245719982
51,83000140,Y,11592,MADISON ST,146,309991,"MADISON ST, NE/O BOREN AVE; TOTAL FLOW; CH(AGG); 27Jun2012 12:45",16510,8885,1257,1106,"MADISON ST, NE/O BOREN AVE","309991, 2012-06-27, TOTAL",2012,Y,"MADISON ST, NE/O BOREN AVE",17742,0.964,17103,17100,11592,1269.95727161444
52,82910010,N,11481,M L KING JR WAY,164,311057,"M L KING JR WAY, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 17Sep2012 11:15",12191,7982,1261,1202,"M L KING JR WAY, N/O E YESLER WAY","311057, 2012-09-17, TOTAL",2012,Y,"M L KING JR WAY, N/O E YESLER WAY",13189.8,0.974,12847,12800,11481,2335.64323218172
53,94250590,N,12545,RENTON AVE S,114,311230,"RENTON AVE S, SE/O S BANGOR ST; TOTAL FLOW; CH(AGG); 03May2012 11:00",11091,6002,688,969,"RENTON AVE S, SE/O S BANGOR ST","311230, 2012-05-03, TOTAL",2012,Y,"RENTON AVE S, SE/O S BANGOR ST",11149.2,1.002,11171,11200,12545,2893.13537099361
54,5750060,N,2188,15TH AVE W,28,309881,"15TH AVE W, N/O W ARMORY WAY; TOTAL FLOW; CH(AGG); 17Apr2012 10:45",42281,24177,3078,3715,"15TH AVE W, N/O W ARMORY WAY","309881, 2012-04-17, TOTAL",2012,Y,"15TH AVE W, N/O W ARMORY WAY",44469,0.984,43757,43800,2188,7640.76352116591
55,91150330,N,12159,PHINNEY AVE N,195,311065,"PHINNEY AVE N, S/O N 65TH ST; TOTAL FLOW; CH(AGG); 26Jun2012 11:00",12081,7183,739,1106,"PHINNEY AVE N, S/O N 65TH ST","311065, 2012-06-26, TOTAL",2012,Y,"PHINNEY AVE N, S/O N 65TH ST",12780.2,0.964,12320,12300,12159,4076.44635073289
56,129750300,N,16504,NE 125TH ST,125,311101,"NE 125TH ST, E/O 35TH AVE NE; TOTAL FLOW; CH(AGG); 27Apr2012 15:00",11202,6807,786,1085,"NE 125TH ST, E/O 35TH AVE NE","311101, 2012-04-27, TOTAL",2012,Y,"NE 125TH ST, E/O 35TH AVE NE",11728.4,0.984,11541,11500,16504,17300.9464367339
57,5550500,N,2078,15TH AVE NE,17,311032,"15TH AVE NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 26Apr2012 11:30",6601,4257,497,786,"15TH AVE NE, S/O NE NORTHGATE WAY","311032, 2012-04-26, TOTAL",2012,Y,"15TH AVE NE, S/O NE NORTHGATE WAY",7034.2,0.984,6922,6900,2078,11465.3421484054
58,20800110,Y,4383,3RD AVE,201,311190,"3RD AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 18Jul2012 13:30",9264,4889,606,744,"3RD AVE, SE/O PIKE ST","311190, 2012-07-18, TOTAL",2012,Y,"3RD AVE, SE/O PIKE ST",9594.4,0.981,9412,9400,4383,4292.23532766889
59,188450140,N,23539,WEST MARGINAL WAY SW,86,310103,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW; TOTAL FLOW; CH(AGG); 05Jun2012 11:15",14556,10161,1538,1352,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW","310103, 2012-06-05, TOTAL",2012,Y,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",17198.4,0.964,16579,16600,23539,13076.4449499091
60,5550250,N,2054,15TH AVE NE,26,311154,"15TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 05Nov2012 11:00",7926,5368,665,945,"15TH AVE NE, S/O NE 75TH ST","311154, 2012-11-05, TOTAL",2012,Y,"15TH AVE NE, S/O NE 75TH ST",8502.2,1.04,8842,8800,2054,2680.44066483259
61,94850755,N,12667,ROOSEVELT WAY NE,20,310071,"ROOSEVELT WAY NE, SE/O NE 130TH N ST; TOTAL FLOW; CH(AGG); 30Jul2012 11:15",18898,11099,1213,1665,"ROOSEVELT WAY NE, SE/O NE 130TH N ST","310071, 2012-07-30, TOTAL",2012,Y,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",20180.6,0.981,19797,19800,12667,1819.62250413868
62,63450045,Y,10000,DENNY WAY,152,309943,"DENNY WAY, W/O 2ND AVE; TOTAL FLOW; CH(AGG); 10Oct2012 11:00",34235,19560,2850,2814,"DENNY WAY, W/O 2ND AVE","309943, 2012-10-10, TOTAL",2012,Y,"DENNY WAY, W/O 2ND AVE",36248.8,0.978,35451,35500,10000,1115.20564463718
63,38950700,N,7340,5TH AVE NE,14,311203,"5TH AVE NE, S/O 145TH ST OFF RP; TOTAL FLOW; CH(AGG); 15May2012 11:30",5414,3125,384,505,"5TH AVE NE, S/O 145TH ST OFF RP","311203, 2012-05-15, TOTAL",2012,Y,"5TH AVE NE, S/O 145TH ST OFF RP",5594.6,1.002,5606,5600,7340,3988.297273481
64,112000040,N,14243,E JOHN ST,204,311081,"E JOHN ST, E/O BROADWAY E; TOTAL FLOW; CH(AGG); 27Jun2012 12:15",14473,7657,862,1084,"E JOHN ST, E/O BROADWAY E","311081, 2012-06-27, TOTAL",2012,Y,"E JOHN ST, E/O BROADWAY E",15054.4,0.964,14512,14500,14243,972.867125631906
65,48100100,N,8477,8TH AVE SW,35,311213,"8TH AVE SW, N/O SW ROXBURY ST; TOTAL FLOW; CH(AGG); 02May2012 11:15",8128,4695,709,686,"8TH AVE SW, N/O SW ROXBURY ST","311213, 2012-05-02, TOTAL",2012,Y,"8TH AVE SW, N/O SW ROXBURY ST",8505,1.002,8522,8500,8477,2079.73698286127
66,19300260,N,4248,28TH AVE W,234,308756,"28TH AVE W, S/O W DRAVUS ST; TOTAL FLOW; CH(AGG); 01Aug2012 10:45",3592,2107,241,347,"28TH AVE W, S/O W DRAVUS ST","308756, 2012-08-01, TOTAL",2012,Y,"28TH AVE W, S/O W DRAVUS ST",3720.6,1.008,3750,3800,4248,5961.54753397307
67,20950790,N,4513,3RD AVE NW,124,311197,"3RD AVE NW, S/O NW 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 11:15",8166,5298,707,859,"3RD AVE NW, S/O NW 145TH ST","311197, 2012-05-14, TOTAL",2012,Y,"3RD AVE NW, S/O NW 145TH ST",8676.2,1.002,8694,8700,4513,17217.821065003
68,31500240,N,6252,4TH AVE S,36,309909,"4TH AVE S, N/O S DAWSON ST; TOTAL FLOW; CH(AGG); 28Jun2012 10:45",27396,19002,2364,2844,"4TH AVE S, N/O S DAWSON ST","309909, 2012-06-28, TOTAL",2012,Y,"4TH AVE S, N/O S DAWSON ST",32342.5,0.964,31178,31200,6252,5766.40930000543
69,6950380,N,2349,16TH AVE SW,225,311168,"16TH AVE SW, N/O SW CAMBRIDGE ST; TOTAL FLOW; CH(AGG); 25Jun2012 12:45",4410,2568,298,373,"16TH AVE SW, N/O SW CAMBRIDGE ST","311168, 2012-06-25, TOTAL",2012,Y,"16TH AVE SW, N/O SW CAMBRIDGE ST",4575.8,0.964,4411,4400,2349,5953.08378003457
70,89550010,N,12052,OLSON PL SW,115,310053,"OLSON PL SW, SW/O 1ST AVE S; TOTAL FLOW; CH(AGG); 14May2012 12:45",30492,16976,2039,2556,"OLSON PL SW, SW/O 1ST AVE S","310053, 2012-05-14, TOTAL",2012,Y,"OLSON PL SW, SW/O 1ST AVE S",31971,1.002,32035,32000,12052,2293.66521745947
71,65100270,N,10183,EASTLAKE AVE E,181,309959,"EASTLAKE AVE E, SW/O HARVARD AVE E; TOTAL FLOW; CH(AGG); 03Oct2012 10:30",13217,9042,1213,1561,"EASTLAKE AVE E, SW/O HARVARD AVE E","309959, 2012-10-03, TOTAL",2012,Y,"EASTLAKE AVE E, SW/O HARVARD AVE E",14435.2,0.978,14118,14100,10183,6934.40730845437
72,300040,Y,1188,1ST AVE S,211,311367,"1ST AVE S, N/O S KING ST; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",10583,4817,579,793,"1ST AVE S, N/O S KING ST","311367, 2012-03-12, TOTAL",2012,Y,"1ST AVE S, N/O S KING ST",9162,1.046,9583,9600,1188,918.302855917314
73,27050120,N,5362,35TH AVE NE,191,309901,"35TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 10:30",13101,7880,991,1147,"35TH AVE NE, S/O NE 75TH ST","309901, 2012-11-06, TOTAL",2012,Y,"35TH AVE NE, S/O NE 75TH ST",13748.5,1.04,14298,14300,5362,8287.31308923215
74,185650015,N,23271,W EMERSON PL,92,311265,"W EMERSON PL, SE/O 21ST AVE W; TOTAL FLOW; CH(AGG); 01Aug2012 10:15",21846,13119,1796,1864,"W EMERSON PL, SE/O 21ST AVE W","311265, 2012-08-01, TOTAL",2012,Y,"W EMERSON PL, SE/O 21ST AVE W",23629.8,1.008,23819,23800,23271,2821.73620591288
